symbol,target_side,raw_target_signed_weight,raw_target_notional,reference_price,current_signed_qty,current_signed_notional,raw_target_abs_qty,target_lattice_abs_qty,target_lattice_signed_qty,short_position_residual_qty,expected_final_signed_qty,executable_expected_signed_weight,projection_weight_gap,projection_notional_gap,estimated_entry_qty,estimated_entry_buying_power,buying_power_price,integer_target_required,constraint_reasons
MRK,short,-0.0296164183591967,-2635.2594283474473,126.38,-21.0137,-2654.450584,20.851870773440794,21.0,-21.0,0.013700000000000045,-21.0137,-0.029832098564526198,-0.00021568020532949637,-19.19115565255288,0.0,0.0,130.1714,True,"['short_target_integer', 'carried_by_min_trade_notional']"
MS,short,-0.0165035707542266,-1468.4824445684415,214.63,-6.9383,-1490.208074,6.841925381206921,7.0,-7.0,-0.06170000000000009,-6.9383,-0.016747734696281217,-0.00024416394205461795,-21.725629431558446,0.0,0.0,221.0689,True,"['short_target_integer', 'carried_by_min_trade_notional']"
MSFT,short,-0.0333333333333333,-2965.98933333333,399.96,-6.9972,-2799.649692,7.415714904823807,7.0,-7.0,-0.0027999999999996916,-6.9972,-0.03146392178528851,0.0018694115480447878,166.33964133332984,0.0,0.0,411.9588,True,"['short_target_integer', 'carried_by_min_trade_notional']"
NEE,short,-0.0049376707940327,-439.3523671983755,87.835,-5.0,-438.875,5.002019322575005,5.0,-5.0,0.0,-5.0,-0.004932305892761134,5.36490127156532e-06,0.47736719837547525,0.0,0.0,90.47005,True,"['short_target_integer', 'carried_by_min_trade_notional']"
NVDA,short,-0.0333333333333333,-2965.98933333333,205.55,-13.9816,-2873.498432,14.429527284521185,14.0,-14.0,-0.01839999999999975,-13.9816,-0.03229387239873194,0.00103946093460136,92.49090133332993,0.0,0.0,211.71650000000002,True,"['short_target_integer', 'carried_by_min_trade_notional']"
NVTS,long,0.0333333333333333,2965.98933333333,12.25,252.7111,3093.158593,242.12157823129223,242.1215,242.1215,0.0,242.1215,0.033333322563084064,-1.0770249228706967e-08,-0.0009583333298905927,0.0,0.0,12.264700000000001,False,[]
OKLO,long,0.0333333333333333,2965.98933333333,43.445,61.1469,2653.77546,68.26998120228633,68.2699,68.2699,0.0,68.2699,0.03333329368570443,-3.964762886730755e-08,-0.003527833329371788,7.123000000000005,309.83008548200024,43.497134,False,[]
OSCR,long,0.031616792472775,2813.252076853928,30.38,63.203,1919.949133,92.6021091788653,92.6021,92.6021,0.0,92.6021,0.03161678933886928,-3.1339057208759565e-09,-0.0002788539281937119,29.39909999999999,894.2164315895997,30.416456,False,[]
PB,long,0.0333333333333333,2965.98933333333,72.42,41.505,3001.22655,40.95538985547265,40.9553,40.9553,0.0,40.9553,0.03333326020053118,-7.313280211689001e-08,-0.0065073333298641955,0.0,0.0,72.506904,False,[]
PCVX,flat,0.0,0.0,56.14,0.0113,0.634382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
